Isolate name,Standardized name,Isolation,Ecological origins,Geographical origins,Ploidy,CladesOrg,Abbreviation,VcfName,Clades
TL229S2.2,ACB,Cheese,Dairy,France,1,M3. Mosaic region 3,M3.M,ACB.variant,M3.Mosaicregion3
YPS1000_1b,ACC,Exudate from Quercus sp.,Tree,USA,1,21. Ecuadorean ,21.E,ACC.variant,21.Ecuadorean
YPS163_1b,ACD,Exudate from Quercus sp.,Tree,USA,1,23. North American oak ,23.N,ACD.variant,23.NorthAmericanoak
CLIB294_1b,ACF,Distillery,Distillery,France,1,1. Wine/European ,01.W,ACF.variant,1.Wine/European
CLIB413_1b,ACG,Fermenting rice beverage,Fermentation,China,1,M1. Mosaic region 1,M1.M,ACG.variant,M1.Mosaicregion1
CLIB483_1b,ACH,Cider,Cider,"Brittany, France",1,M1. Mosaic region 1,M1.M,ACH.variant,M1.Mosaicregion1
Y10_1b,ACI,Coconut,Fruit,Philippines,1,M3. Mosaic region 3,M3.M,ACI.variant,M3.Mosaicregion3
Y12_1b,ACK,Palm wine,Palm wine,Ivory Coast,1,26. Asian fermentation ,26.A,ACK.variant,26.Asianfermentation
Y3_1b,ACL,Palm wine,Palm wine,NA,1,M3. Mosaic region 3,M3.M,ACL.variant,M3.Mosaicregion3
Y9_4,ACM,Ragi fermentation,Fermentation,Indonesia,1,26. Asian fermentation ,26.A,ACM.variant,26.Asianfermentation
YJM269_1b,ACN,Red Blauer Portugieser grapes,Wine,Austria,1,M3. Mosaic region 3 ,M3.M,ACN.variant,M3.Mosaicregion3
CLIB154_1b,ACP,Wine,Wine,Russia,1,1. Wine/European (subclade 1),01.W1,ACP.variant,1.Wine/European(subclade1)
CLIB219_2b,ACQ,Wine,Wine,Russia,1,18. Far East Asia ,18.F,ACQ.variant,18.FarEastAsia
DBVPG1339_1b,ACR,Grapes,Wine,Netherlands,1,1. Wine/European ,01.W,ACR.variant,1.Wine/European
I14_1b,ACS,Vineyard soil,Wine,Italy,1,M1. Mosaic region 1,M1.M,ACS.variant,M1.Mosaicregion1
UC8_1b,ACT,Wine,Wine,South Africa,1,1. Wine/European ,01.W,ACT.variant,1.Wine/European
WE372_1b,ACV,Wine,Wine,South Africa,1,1. Wine/European ,01.W,ACV.variant,1.Wine/European
Y55_1b,ADA,Wine,Wine,France,1,M3. Mosaic region 3 ,M3.M,ADA.variant,M3.Mosaicregion3
Y9J_1b,ADB,Wine,Wine,Japan,1,1. Wine/European ,01.W,ADB.variant,1.Wine/European
UC1_1b,ADC,Wine,Wine,France,1,1. Wine/European ,01.W,ADC.variant,1.Wine/European
IL_01_b,ADD,Soil,Soil,"Illinois, USA",1,1. Wine/European (subclade 2),01.W2,ADD.variant,1.Wine/European(subclade2)
PW5_b,ADE,Raphia palm wine,Palm wine,"Aba, Abia State, Nigeria",1,Unclustered,unk,ADE.variant,Unclustered
YPS1009_b,ADF,Exudate from Quercus sp.,Tree,USA,1,13. African palm wine ,13.A,ADF.variant,13.Africanpalmwine
NC_02_b,ADG,Exudate from Quercus sp.,Tree,"North Carolina, USA",1,Unclustered,unk,ADG.variant,Unclustered
T7_b,ADH,Exudate from Quercus sp.,Tree,"Babler State Park, MO, USA",1,26. Asian fermentation ,26.A,ADH.variant,26.Asianfermentation
YJM981_b,ADI,Vagina,"Human, clinical",Italy,1,1. Wine/European (subclade 2),01.W2,ADI.variant,1.Wine/European(subclade2)
CLIB208_1,ADK,Bakery,Bakery,"Shanaong, China",2,M3. Mosaic region 3,M3.M,ADK.variant,M3.Mosaicregion3
CLIB318_1,ADL,Bakery,Bakery,Netherlands,2,8. Mixed origin ,08.M,ADL.variant,8.Mixedorigin
CLIB324_2,ADM,Bakery,Bakery,Vietnam,2,8. Mixed origin ,08.M,ADM.variant,8.Mixedorigin
K1_1,ADN,Sake,Sake,Japan,1,25. Sake ,25.S,ADN.variant,25.Sake
Y6_b,ADP,Unknown,Unknown,French Guiana,2,8. Mixed origin ,08.M,ADP.variant,8.Mixedorigin
K12_2,ADQ,Sake (shochu),Sake,Japan,1,25. Sake ,25.S,ADQ.variant,25.Sake
M22_1b,ADR,Vineyard,Wine,Italy,1,1. Wine/European ,01.W,ADR.variant,1.Wine/European
T73_1b,ADS,Monastrel grape fermentation (red wine),Wine,"Alicante, Spain",2,1. Wine/European ,01.W,ADS.variant,1.Wine/European
CBS7765,ADT,Salmo gairdneri (rainbow trout),Nature,"Sweden, Goteborg",1,M3. Mosaic region 3,M3.M,ADT.variant,M3.Mosaicregion3
CBS7903,ADV,Palm wine,Palm wine,Nigeria,1,13. African palm wine ,13.A,ADV.variant,13.Africanpalmwine
CBS7958,AEA,Factory producing cassava flour,Industrial,"Sao Paulo, Brazil",1,7. Mosaic beer ,07.M,AEA.variant,7.Mosaicbeer
CBS1171,AEB,Brewers top yeast,Beer,"Oranjeboom brewery, Rotterdam, Netherlands",4,11. Ale beer ,11.A,AEB.variant,11.Alebeer
CBS1248,AEC,Brewers yeast,Beer,NA,Xn,11. Ale beer ,11.A,AEC.variant,11.Alebeer
CBS2441,AEE,Distillery,Distillery,NA,3,M3. Mosaic region 3,M3.M,AEE.variant,M3.Mosaicregion3
CBS6414,AEF,Sake yeast,Sake,Japan,1,25. Sake ,25.S,AEF.variant,25.Sake
CBS7962,AEG,Fermenting concentrated syrup (sugar cane),Industrial,Brazil,1,3. Brazilian bioethanol ,03.B,AEG.variant,3.Brazilianbioethanol
CBS7964,AEH,Fermenting concentrated syrup (sugar cane),Industrial,Brazil,1,3. Brazilian bioethanol ,03.B,AEH.variant,3.Brazilianbioethanol
CBS1428,AEI,Bakery,Bakery,NA,1,M3. Mosaic region 3,M3.M,AEI.variant,M3.Mosaicregion3
CBS4079,AEK,Film on white wine,Wine,Spain,1,1. Wine/European (subclade 4),01.W4,AEK.variant,1.Wine/European(subclade4)
CBS1394,AEL,Distillery,Distillery,NA,2,M3. Mosaic region 3,M3.M,AEL.variant,M3.Mosaicregion3
CBS2973,AEM,Beer wort,Beer,NA,1,8. Mixed origin ,08.M,AEM.variant,8.Mixedorigin
CBS4454,AEN,Kaffir beer,Beer,South Africa,2,6. African beer ,06.A,AEN.variant,6.Africanbeer
CBS1508,AEP,Starter for sorghum brandy,Distillery,NA,2,26. Asian fermentation ,26.A,AEP.variant,26.Asianfermentation
CBS1782,AEQ,Super-attenuated beer,Beer,Japan,1,7. Mosaic beer ,07.M,AEQ.variant,7.Mosaicbeer
CBS2970,AER,Blackstrap molasses,Industrial,"San Jose sugar mill, Rio Piedras, Puerto Rico",1,M2. Mosaic region 2,M2.M,AER.variant,M2.Mosaicregion2
CBS4054,AES,Red wine,Wine,Spain,1,1. Wine/European (subclade 4),01.W4,AES.variant,1.Wine/European(subclade4)
CBS6007,AET,Wine,Wine,Spain,1,1. Wine/European (subclade 4),01.W4,AET.variant,1.Wine/European(subclade4)
CBS6216,AEV,Tapwater,Water,"Rotterdam, Netherlands",2,8. Mixed origin ,08.M,AEV.variant,8.Mixedorigin
CBS6503,AFA,Brewery,Beer,UK,2,7. Mosaic beer ,07.M,AFA.variant,7.Mosaicbeer
CBS7371,AFB,Brewery,Beer,UK,1,7. Mosaic beer ,07.M,AFB.variant,7.Mosaicbeer
CBS7764,AFC,Salmo gairdneri (rainbow trout),Nature,"Goteborg, Sweden",2,8. Mixed origin ,08.M,AFC.variant,8.Mixedorigin
CBS7960,AFD,Factory producing ethanol (sugar cane syrup),Industrial,"Sao Paulo, Brazil",1,3. Brazilian bioethanol ,03.B,AFD.variant,3.Brazilianbioethanol
CBS8291,AFE,Seawater,Water,Sweden,2,8. Mixed origin ,08.M,AFE.variant,8.Mixedorigin
CBS1252,AFF,Bakery,Bakery,France,1,8. Mixed origin ,08.M,AFF.variant,8.Mixedorigin
CBS1387,AFG,Bakery,Bakery,NA,1,M3. Mosaic region 3,M3.M,AFG.variant,M3.Mosaicregion3
CBS1509,AFH,Distillery,Distillery,NA,1,26. Asian fermentation ,26.A,AFH.variant,26.Asianfermentation
CBS2183,AFI,Wine,Wine,Chateau Chalon France,1,1. Wine/European (subclade 4),01.W4,AFI.variant,1.Wine/European(subclade4)
CBS2992,AFK,Palm wine,Palm wine,Pakistan,2,24. Asian islands ,24.A,AFK.variant,24.Asianislands
CBS4456,AFL,Kaffir beer,Beer,South Africa,1,6. African beer ,06.A,AFL.variant,6.Africanbeer
CBS6412,AFM,Sake yeast,Sake,Japan,1,25. Sake ,25.S,AFM.variant,25.Sake
CBS6413,AFN,Sake yeast,Sake,Japan,1,25. Sake ,25.S,AFN.variant,25.Sake
CBS6505,AFP,Brewery (Killer strain responsible for death of brewing yeast),Beer,UK,2,7. Mosaic beer ,07.M,AFP.variant,7.Mosaicbeer
CBS7993,AFQ,Fresh water,Water,"Rio de Janeiro, Tijuca National Forest, Cushvara River, Brazil",1,M2. Mosaic region 2 ,M2.M,AFQ.variant,M2.Mosaicregion2
CBS7959,AFR,Factory producing ethanol (sugar cane syrup),Industrial,"Sao Paulo, Brazil",1,3. Brazilian bioethanol ,03.B,AFR.variant,3.Brazilianbioethanol
CBS1173,AFS,Fruit ilex,Fruit,NA,2,Unclustered,unk,AFS.variant,Unclustered
CBS1464,AFT,Infected nail of 4 yo girl,"Human, clinical",Austria,4,8. Mixed origin ,08.M,AFT.variant,8.Mixedorigin
CBS2814,AFV,Wine,Wine,Slovakia,2,1. Wine/European (subclade 4),01.W4,AFV.variant,1.Wine/European(subclade4)
CBS3012,AGA,Wine,Wine,"Cadiz, Spain",2,1. Wine/European ,01.W,AGA.variant,1.Wine/European
CBS6308,AGB,"Brewer yeast, Yorkshire type",Beer,"South Yorkshire, UK",2,11. Ale beer ,11.A,AGB.variant,11.Alebeer
CBS2444,AGC,Distillery,Distillery,"Seagrams distillery, Louisville, Kentucky",1,Unclustered,unk,AGC.variant,Unclustered
CBS1385,AGE,Bakery,Bakery,NA,2,8. Mixed origin ,08.M,AGE.variant,8.Mixedorigin
CBS1479,AGF,Wine,Wine,NA,1,1. Wine/European ,01.W,AGF.variant,1.Wine/European
CBS1480,AGG,Distillery,Distillery,NA,2,26. Asian fermentation ,26.A,AGG.variant,26.Asianfermentation
CBS1582,AGH,Wine,Wine,Portugal,1,1. Wine/European ,01.W,AGH.variant,1.Wine/European
CBS1590,AGI,Grape must / juice,Wine,Italy,2,1. Wine/European ,01.W,AGI.variant,1.Wine/European
CBS2361,AGK,Trinidadian cane sugar,Nature,UK,1,8. Mixed origin ,08.M,AGK.variant,8.Mixedorigin
CBS4458,AGL,Red wine,Wine,France,1,1. Wine/European ,01.W,AGL.variant,1.Wine/European
CBS7961,AGM,Fermenting concentrated syrup (sugar cane),Industrial,"Sao Paulo, Brazil",1,3. Brazilian bioethanol ,03.B,AGM.variant,3.Brazilianbioethanol
CBS439,AGN,Silvaner grapes,Wine,Germany,1,M1. Mosaic region 1 ,M1.M,AGN.variant,M1.Mosaicregion1
CBS1544,AGP,Juice,Fruit,Netherlands,1,M3. Mosaic region 3,M3.M,AGP.variant,M3.Mosaicregion3
CBS1594,AGR,Plant,Nature,NA,1,24. Asian islands ,24.A,AGR.variant,24.Asianislands
CBS3013,AGS,Wine,Wine,"Cadiz, Spain",1,1. Wine/European ,01.W,AGS.variant,1.Wine/European
CBS3078,AGT,Spores,Unknown,NA,1,M3. Mosaic region 3,M3.M,AGT.variant,M3.Mosaicregion3
CBS6223,AGV,Grape juice,Wine,Chile,1,1. Wine/European ,01.W,AGV.variant,1.Wine/European
CBS6333,AHA,Rotting banana (from Musa sapientum),Fruit,Costa Rica,1,M3. Mosaic region 3,M3.M,AHA.variant,M3.Mosaicregion3
CBS4734,AHB,Sugar cane juice,Nature,NA,1,Unclustered,unk,AHB.variant,Unclustered
CBS7963,AHC,Fermenting concentrated syrup (sugar cane),Industrial,"Sao Paulo, Brazil",1,3. Brazilian bioethanol ,03.B,AHC.variant,3.Brazilianbioethanol
CBS1192,AHD,Wine,Wine,NA,1,1. Wine/European ,01.W,AHD.variant,1.Wine/European
CBS1194,AHE,Wine,Wine,NA,1,1. Wine/European ,01.W,AHE.variant,1.Wine/European
CBS1540,AHF,Tibi grains,Nature,Switzerland,1,M1. Mosaic region 1,M1.M,AHF.variant,M1.Mosaicregion1
CBS1586,AHG,Pear must,Fruit,NA,1,1. Wine/European ,01.W,AHG.variant,1.Wine/European
CBS3000,AHH,Palm wine,Palm wine,Denmark,1,24. Asian islands ,24.A,AHH.variant,24.Asianislands
CBS6914,AHI,White wine,Wine,Spain,1,1. Wine/European ,01.W,AHI.variant,1.Wine/European
CBS2247,AHK,Grape must,Wine,South Africa,1,1. Wine/European (subclade 4),01.W4,AHK.variant,1.Wine/European(subclade4)
CBS3081,AHL,Alpechin (waste from olive oil production),Industrial,Spain,1,2. Alpechin ,02.A,AHL.variant,2.Alpechin
CBS3093,AHM,Alpechin (waste from olive oil production),Industrial,Spain,1,2. Alpechin ,02.A,AHM.variant,2.Alpechin
CBS5635,AHN,Grape must,Wine,South Africa,1,1. Wine/European ,01.W,AHN.variant,1.Wine/European
CBS5835,AHP,Wine,Wine,Spain,2,1. Wine/European (subclade 4),01.W4,AHP.variant,1.Wine/European(subclade4)
CBS440,AHQ,Molasses,Industrial,Taiwan,1,26. Asian fermentation ,26.A,AHQ.variant,26.Asianfermentation
CBS1227,AHR,Abscess on epididymis,"Human, clinical",Romania,1,1. Wine/European ,01.W,AHR.variant,1.Wine/European
CBS1419,AHS,Wine,Wine,Ghana,1,13. African palm wine ,13.A,AHS.variant,13.Africanpalmwine
CBS1460,AHT,Fermenting fruit,Fermentation,Indonesia,1,1. Wine/European ,01.W,AHT.variant,1.Wine/European
CBS1487,AHV,Brewery,Beer,NA,1,8. Mixed origin ,08.M,AHV.variant,8.Mixedorigin
CBS2180,AIA,Turbid Italian wine,Wine,Italy,1,1. Wine/European (subclade 4),01.W4,AIA.variant,1.Wine/European(subclade4)
CBS2805,AIB,Wine,Wine,Slovakia,1,1. Wine/European (subclade 4),01.W4,AIB.variant,1.Wine/European(subclade4)
CBS2807,AIC,Wine,Wine,Slovakia,1,1. Wine/European (subclade 4),01.W4,AIC.variant,1.Wine/European(subclade4)
CBS2909,AID,Human feces,Human,NA,2,2. Alpechin ,02.A,AID.variant,2.Alpechin
CBS2910,AIE,Human feces,Human,Portugal,1,2. Alpechin ,02.A,AIE.variant,2.Alpechin
CBS457,AIF,Grape must,Wine,Italy,2,1. Wine/European ,01.W,AIF.variant,1.Wine/European
CBS1463,AIG,Beer,Beer,NA,1,7. Mosaic beer ,07.M,AIG.variant,7.Mosaicbeer
C6.1,AII,Palm wine,Palm wine,Cameroon,2,1. Wine/European ,01.W,AII.variant,1.Wine/European
C15.1,AIK,Palm nuts ,Nature,Cameroon,2,1. Wine/European ,01.W,AIK.variant,1.Wine/European
C10.4,AIL,Clay,Nature,Cameroon,2,1. Wine/European ,01.W,AIL.variant,1.Wine/European
E4,AIM,NA,Wine,"Umbria, Italy",2,1. Wine/European ,01.W,AIM.variant,1.Wine/European
MC5,AIN,Cooked wine (vino cotto),Wine,"Ascoli Piceno, Italy",2,1. Wine/European ,01.W,AIN.variant,1.Wine/European
MC6,AIP,Grape,Wine,"Umbria, Italy",2,1. Wine/European (subclade 4),01.W4,AIP.variant,1.Wine/European(subclade4)
MC7,AIQ,Spontaneous alcoholic fermentation,Fermentation,"Umbria, Italy",2,1. Wine/European ,01.W,AIQ.variant,1.Wine/European
MC8,AIR,Cooked wine (vino cotto),Wine,"Ascoli Piceno, Italy",2,1. Wine/European ,01.W,AIR.variant,1.Wine/European
MC10,AIT,Winery surface,Wine,"Umbria, Italy",2,1. Wine/European ,01.W,AIT.variant,1.Wine/European
NPA07.1,AKB,Palm wine,Palm wine,Nigeria,2,13. African palm wine ,13.A,AKB.variant,13.Africanpalmwine
NPA05a1,AKC,Palm wine,Palm wine,Nigeria,3,13. African palm wine ,13.A,AKC.variant,13.Africanpalmwine
NPA05b1,AKD,Palm wine,Palm wine,Nigeria,3,13. African palm wine ,13.A,AKD.variant,13.Africanpalmwine
NPA03.1,AKE,Palm wine,Palm wine,Nigeria,2,13. African palm wine ,13.A,AKE.variant,13.Africanpalmwine
NPA06.1,AKG,Palm wine,Palm wine,Nigeria,2,13. African palm wine ,13.A,AKG.variant,13.Africanpalmwine
NPA02-1,AKH,Palm wine,Palm wine,Nigeria,2,13. African palm wine ,13.A,AKH.variant,13.Africanpalmwine
DBVPG6044,AKI,Bili wine,Wine,West Africa,2,M3. Mosaic region 3 ,M3.M,AKI.variant,M3.Mosaicregion3
K12,AKL,Sake,Sake,Japan,2,26. Asian fermentation ,26.A,AKL.variant,26.Asianfermentation
UWOPS03-461.4,AKM,"Nectar, Bertam palm",Tree,Malaysia,2,19. Malaysian ,19.M,AKM.variant,19.Malaysian
YPS128,AKN,Soil beneath Quercus alba,Soil,"Pennsylvania, USA",2,23. North American oak ,23.N,AKN.variant,23.NorthAmericanoak
CLQCA_02-003,AKP,Heart of palm processing equipment,Industrial,"Santo Domingo, Ecuador",2,1. Wine/European ,01.W,AKP.variant,1.Wine/European
CLQCA_04-021,AKQ,Beetle,Insect,"Los Rios, Ecuador",2,M3. Mosaic region 3 ,M3.M,AKQ.variant,M3.Mosaicregion3
CLQCA_05-006,AKR,Rotten fruit,Fruit,"Guayas, Ecuador",2,26. Asian fermentation ,26.A,AKR.variant,26.Asianfermentation
CLQCA_09-001,AKS,Flower (Opuntia sp.),Flower,"Imbabura, Ecuador",2,M3. Mosaic region 3 ,M3.M,AKS.variant,M3.Mosaicregion3
CLQCA_10-003,AKT,Stingless bee,Insect,"Pichincha, Ecuador",2,8. Mixed origin ,08.M,AKT.variant,8.Mixedorigin
CLQCA_10-027,AKV,Grass,Nature,"Pichincha, Ecuador",2,1. Wine/European ,01.W,AKV.variant,1.Wine/European
CLQCA_10-619,ALA,Beetle,Insect,"Pichincha, Ecuador",2,26. Asian fermentation ,26.A,ALA.variant,26.Asianfermentation
CLQCA_10-620,ALB,Orthopteran insect,Insect,"Pichincha, Ecuador",2,26. Asian fermentation ,26.A,ALB.variant,26.Asianfermentation
CLQCA_11-024,ALC,Unidentified aquatic plant,Nature,"Cotopaxi, Ecuador",2,26. Asian fermentation ,26.A,ALC.variant,26.Asianfermentation
CLQCA_13-023,ALD,Wax on rock surface,Nature,"Bolivar, Ecuador",2,5. French dairy ,05.F,ALD.variant,5.Frenchdairy
CLQCA_17-060,ALE,Hemipteran insect,Insect,"Loja, Ecuador",2,1. Wine/European ,01.W,ALE.variant,1.Wine/European
CLQCA_18-003,ALG,Cocoa fruit,Fruit,"Sucumbios, Ecuador",2,M3. Mosaic region 3 ,M3.M,ALG.variant,M3.Mosaicregion3
CLQCA_19-011,ALH,Horse dung,Nature,"Napo, Ecuador ",2,26. Asian fermentation ,26.A,ALH.variant,26.Asianfermentation
CLQCA_20-060,ALI,Water in leaf with organic matter,Water,"Yasuni National Park, Orellana, Ecuador",2,Unclustered,unk,ALI.variant,Unclustered
CLQCA_24SC-235,ALK,Tree exudate (Bursera graveolens),Tree,"Galapagos, Ecuador",2,26. Asian fermentation ,26.A,ALK.variant,26.Asianfermentation
21-4-99,ALL,River water (Danube),Water,"Bratislava, Slovakia",2,1. Wine/European ,01.W,ALL.variant,1.Wine/European
21-4-101,ALM,River water (Danube),Water,"Bratislava, Slovakia",2,1. Wine/European ,01.W,ALM.variant,1.Wine/European
21-4-103,ALN,River water (Morava),Water,"Bratislava, Deninska Nova Ves, Slovakia",2,8. Mixed origin ,08.M,ALN.variant,8.Mixedorigin
21-4-105,ALP,River water Morava,Water,"Bratislava, Deninska Nova Ves, Slovakia",2,8. Mixed origin ,08.M,ALP.variant,8.Mixedorigin
21-4-111,ALQ,"Leaves of Prunus domestica L., 'Stanley'",Tree,"Male Zaluzie, Slovakia",2,1. Wine/European (subclade 1),01.W1,ALQ.variant,1.Wine/European(subclade1)
21-4-114,ALR,Leaves of peach tree (Prunus armeniaca),Tree,"Male levare, Slovakia",3,M3. Mosaic region 3,M3.M,ALR.variant,M3.Mosaicregion3
21-4-116,ALS,Blossom of apple tree (Malus domestica),Flower,"Male levare, Slovakia",2,1. Wine/European (subclade 1),01.W1,ALS.variant,1.Wine/European(subclade1)
21-4-122,ALT,Blossoms of apricot tree (Prunus armeniaca),Flower,"Male Zaluzie, Slovakia",2,1. Wine/European (subclade 1),01.W1,ALT.variant,1.Wine/European(subclade1)
21-4-124,ALV,"Fruit of plum tree (Prunus domestica L., 'Stanley')",Fruit,"Male Zaluzie, Slovakia",3,8. Mixed origin ,08.M,ALV.variant,8.Mixedorigin
21-4-125,AMA,"Fruit of plum tree (Prunus domestica L., 'Stanley')",Fruit,"Male Zaluzie, Slovakia",3,1. Wine/European (subclade 1),01.W1,AMA.variant,1.Wine/European(subclade1)
IY_03-5-30-1-1-1_(1),AMB,Chauliodes pectinicornis (male) - Corydalidae,Insect,"Louisiana, USA",2,Unclustered,unk,AMB.variant,Unclustered
IY_03-5-26-5-1-1_(1),AMC,Chauliodes pectinicornis (female) - Corydalidae,Insect,"Louisiana, USA",2,Unclustered,unk,AMC.variant,Unclustered
ES4M07,AMD,Fruiting body of Geastrum sp.,Fruit,"Dongpu, Sinyi Township, Nantou, Taiwan",2,Unclustered,unk,AMD.variant,Unclustered
ES2M03,AMF,Fruiting body of Russula sp.,Fruit,"Dongpu, Sinyi Township, Nantou, Taiwan",2,Unclustered,unk,AMF.variant,Unclustered
SJ7L01,AMG,Leaf of Ardisia cornudentata,Tree,"Tuchih, Nantou, Taiwan",3,8. Mixed origin ,08.M,AMG.variant,8.Mixedorigin
EN14S01,AMH,Soil,Soil,"Sinyi, Nantou, Taiwan",2,17. Taiwanese ,17.T,AMH.variant,17.Taiwanese
SJ1L04,AMI,Leaf of Podocarppus macrophyllus,Tree,"Yuchih, Nantou, Taiwan",3,8. Mixed origin ,08.M,AMI.variant,8.Mixedorigin
SJ6L01,AMK,Leaf of Cunninghamia lanceolata,Tree,"Tuchih, Nantou, Taiwan",3,8. Mixed origin ,08.M,AMK.variant,8.Mixedorigin
SJ5L11,AML,Leaf of Acacia dealbata,Tree,"Tuchih, Nantou, Taiwan",3,8. Mixed origin ,08.M,AML.variant,8.Mixedorigin
SJ5L12,AMM,Leaf of Trema orientalis,Tree,"Beinan, Taitung, Taiwan",2,Unclustered,unk,AMM.variant,Unclustered
SJ5L13,AMN,Leaf of Wendlandia formosana,Tree,"Tuchih, Nantou, Taiwan",4,8. Mixed origin ,08.M,AMN.variant,8.Mixedorigin
SJ5L14,AMP,Fruiting body of Auricularia auricular,Fruit,"Taian, Miaoli, Taiwan",2,M1. Mosaic region 1,M1.M,AMP.variant,M1.Mosaicregion1
SJ5L15,AMQ,Leaf of Acacia dealbata,Tree,"Tuchih, Nantou, Taiwan",3,8. Mixed origin ,08.M,AMQ.variant,8.Mixedorigin
SJ5L16,AMR,Soil,Soil,"Jhuosi, Hualein, Taiwan",2,1. Wine/European ,01.W,AMR.variant,1.Wine/European
