"Dataset","Reference","Strain name","Geographic origin (from reference)","Substrate (from reference)","Substrate cd (from reference)","Type/style","Origin","Source","Genetic group","Genetic group general","Accessions","Coverage","BB_clade"
"Fay","[1]","A.Muntons","England","Commercial Ale","Muntons English Ale Yeast","Ale","UK/IE","Beer","Beer/baking","Beer/baking","SRR8172948,SRS4029000,SAMN10375228",32.5,"clade1B"
"Fay","[1]","A.Nottingham","England","Commercial Ale","Danstar Nottingham (English) Ale Yeast","Ale","UK/IE","Beer","Ale1","Ale1","SRR8172953,SRS4029001,SAMN10375229",6.3,
"Fay","[1]","A.S-04","England","Commercial Ale","Safale S-04 English Ale Yeast","Ale","UK/IE","Beer","Ale1","Ale1","SRR8172954,SRS4028998,SAMN10375230",14.5,
"Fay","[1]","A.S-33","England","Commercial Ale","Safale S-33 English Ale Yeast","Ale","UK/IE","Beer","Beer/baking","Beer/baking","SRR8172951,SRS4028999,SAMN10375231",21.9,"clade1B"
"Fay","[1]","A.T-58","Belgium","Commercial Ale","Safbrew T-58 Belgian Ale Yeast","Ale","Belgium","Beer","Beer/baking","Beer/baking","SRR8172952,SRS4029002,SAMN10375232",22.1,"clade1A"
"Fay","[1]","A.US-05","American","Commercial Ale","Safale US-05 American Ale Yeast","Ale","US/CA","Beer","Ale1","Ale1","SRR8172957,SRS4029003,SAMN10375233",27.3,
"Fay","[1]","A.Windson","England","Commercial Ale","Danstar Windsor (English) Ale Yeast","Ale","UK/IE","Beer","Beer/baking","Beer/baking","SRR8172986,SRS4029062,SAMN10375235",7.5,"clade1B"
"Fay","[1]","ABM1","NA","Commercial Baking","AB Mauri baking #1","Other","Other","Baking","Beer/baking","Beer/baking","SRR8173053,SRS4029017,SAMN10375319",244.7,"clade1A"
"Fay","[1]","ABM2","NA","Commercial Baking","AB Mauri baking #2","Other","Other","Baking","Beer/baking","Beer/baking","SRR8173054,SRS4029016,SAMN10375320",152.1,"clade1D"
"Fay","[1]","ABM3","NA","Commercial Baking","AB Mauri baking #3","Other","Other","Baking","Beer/baking","Beer/baking","SRR8173051,SRS4029019,SAMN10375321",132,"clade1C"
"Fay","[1]","ABM4","NA","Commercial Baking","AB Mauri baking #4","Other","Other","Baking","Beer/baking","Beer/baking","SRR8173052,SRS4029018,SAMN10375322",240.7,"clade1C"
"Fay","[1]","ABM5","NA","Commercial Baking","AB Mauri baking #5","Other","Other","Baking","Beer/baking","Beer/baking","SRR8173049,SRS4029021,SAMN10375323",134.1,"clade1C"
"Fay","[1]","L.2112","NA","Commercial Lager","Wyeast 2112 California Lager","Lager","NA","Beer","Lager","Lager","SRR8173088,SRS4028980,SAMN10375327",24.2,
"Fay","[1]","L.2278","NA","Commercial Lager","Wyeast 2278 Czech Pils","Lager","NA","Beer","Lager","Lager","SRR8172985,SRS4029061,SAMN10375236",21.9,
"Fay","[1]","L.Brewferm","NA","Commercial Lager","Brewferm Lager Yeast","Lager","NA","Beer","Beer/baking","Beer/baking","SRR8172988,SRS4029060,SAMN10375237",44,"clade1C"
"Fay","[1]","L.S-23","NA","Commercial Lager","Saflager S-23 Lager Yeast","Lager","NA","Beer","Lager","Lager","SRR8172987,SRS4029059,SAMN10375238",16,
"Fay","[1]","L.W-34-70","NA","Commercial Lager","Saflager W-34/70 Lager Yeast","Lager","NA","Beer","Lager","Lager","SRR8172990,SRS4029057,SAMN10375239",19.1,
"Fay","[1]","L.WLP820","NA","Commercial Lager","White Labs WLP820 Oktoberfest Lager","Lager","NA","Beer","Lager","Lager","SRR8172989,SRS4029058,SAMN10375240",5.9,
"Fay","[1]","W.WLP045","NA","Commercial Whiskey","White Labs WLP045 Scotch Whiskey Yeast","Other","Other","Spirits","Beer/baking","Beer/baking","SRR8172992,SRS4029047,SAMN10375241",10.6,
"Fay","[1]","W.WLP070","NA","Commercial Whiskey","White Labs WLP070 Bourbon Yeast","Other","Other","Spirits","Lager","Lager","SRR8172991,SRS4029046,SAMN10375242",11.3,
"Fay","[1]","YMD1864","England","Commercial Ale","Wyeast 1275 Thames Valley (English)","Ale","UK/IE","Beer","Ale1","Ale1","SRR8172962,SRS4029075,SAMN10375304",164.2,
"Fay","[1]","YMD1865","England","Commercial Ale","Wyeast 1469 W Yorkshire (English)","Ale","UK/IE","Beer","Ale1","Ale1","SRR8172983,SRS4029056,SAMN10375305",282.6,
"Fay","[1]","YMD1866","Scotland","Commercial Ale","Wyeast 1728 Scottish Ale","Ale","UK/IE","Beer","Ale1","Ale1","SRR8172984,SRS4029063,SAMN10375306",154.3,
"Fay","[1]","YMD1867","American","Commercial Ale","Wyeast 1332 Northwest (American) Ale","Ale","US/CA","Beer","Ale1","Ale1","SRR8172946,SRS4029081,SAMN10375307",164.8,
"Fay","[1]","YMD1868","American","Commercial Ale","Wyeast Rogue Pacman (American)","Ale","US/CA","Beer","Ale1","Ale1","SRR8172945,SRS4029082,SAMN10375308",174.2,
"Fay","[1]","YMD1869","Britain","Commercial Ale","Wyeast 1098 British Ale","Ale","UK/IE","Beer","Ale1","Ale1","SRR8172944,SRS4029054,SAMN10375309",292.9,
"Fay","[1]","YMD1870","Britain","Commercial Ale","Wyeast 1028 London Ale","Ale","UK/IE","Beer","Ale1","Ale1","SRR8172943,SRS4029083,SAMN10375310",164.2,
"Fay","[1]","YMD1871","Germany","Commercial Ale","Wyeast 2565 Kolsch (German)","Kolsch","Germany","Beer","Ale2","Ale2","SRR8172942,SRS4029084,SAMN10375311",140.8,
"Fay","[1]","YMD1872","England","Commercial Ale","Wyeast 1318 London Ale III","Ale","UK/IE","Beer","Ale1","Ale1","SRR8172941,SRS4029086,SAMN10375312",175.7,
"Fay","[1]","YMD1873","Germany","Commercial Wheat","Wyeast 3068 Weihenstephan (German wheat)","Wheat beer","Germany","Beer","Ale1","Ale1","SRR8172940,SRS4029085,SAMN10375313",169.9,
"Fay","[1]","YMD1874","NA","Commercial Lager","Wyeast 2112 Cal Lager","Lager","NA","Beer","Lager","Lager","SRR8172939,SRS4029087,SAMN10375314",118.9,
"Fay","[1]","YMD1875","Belgium","Commercial Ale","Wyeast 3787 Trappist HG (Belgian)","Trappist","Belgium","Beer","Ale2","Ale2","SRR8172938,SRS4029055,SAMN10375315",282,
"Fay","[1]","YMD1950","Belgium","Commercial Wheat","Wyeast 3463 Forbidden Fruit (Belgian wheat)","Wheat beer","Belgium","Beer","Ale2","Ale2","SRR8172937,SRS4029088,SAMN10375316",136.5,
"Fay","[1]","YMD1952","Germany","Commercial Ale","Wyeast 2565 Kolsch (German)","Kolsch","Germany","Beer","Ale2","Ale2","SRR8173055,SRS4029015,SAMN10375317",138.4,
"Fay","[1]","YMD1981","England","Commercial Ale","Wyeast 1968 London ESB","Bitter","UK/IE","Beer","Ale1","Ale1","SRR8173056,SRS4029014,SAMN10375318",152.8,
"Fay","[1]","YO1128","Ismaili District, Yemen","Green coffee beans","Green coffee beans, Ismaili District - Yemen","Other","Other","Wild","Beer/baking","Beer/baking","SRR8172977,SRS4029069,SAMN10375254",55.7,"clade1D"
"Fay","[1]","YO1133","Yirgacheffe, Ethiopia","Green coffee beans","Green coffee beans, Yirgacheffe - Ethiopia","Other","Other","Wild","Beer/baking","Beer/baking","SRR8172974,SRS4029072,SAMN10375255",229.7,"clade1D"
"Fay","[1]","YO1164","San Jacinto, CA, USA","D. pseudoobscura","D. pseudoobscura, San Jacinto, CA - United States","Other","Other","Wild","Beer/baking","Beer/baking","SRR8172973,SRS4029073,SAMN10375256",240.1,"clade1D"
"Fay","[1]","YO1201","Java - Indonesia","Green coffee beans","Green coffee beans, Java - Indonesia","Other","Other","Wild","Beer/baking","Beer/baking","SRR8173041,SRS4029029,SAMN10375257",252.3,"clade1D"
"Fay","[1]","YO367","Evolution Canyon, Israel","South facing shady spot, Station 2","South facing shady spot, Station 2, Evolution Canyon - Israel","Other","Other","Wild","Beer/baking","Beer/baking","SRR8173045,SRS4029025,SAMN10375265",256.8,"clade1D"
"Fay","[1]","YO465","Gothenburg, Sweden","Fish gut","Fish gut, Gothenburg - Sweden","Other","Other","Wild","Beer/baking","Beer/baking","SRR8173026,SRS4029034,SAMN10375271",242.2,"clade1D"
"Fay","[1]","YO707","NA","Coconut pod","Coconut pod","Other","Other","Wild","Beer/baking","Beer/baking","SRR8173084,SRS4028986,SAMN10375282",231.6,"clade1D"
"Fay","[1]","YO721","NA","Kefyr (Y-393)","Kefyr","Other","Other","Wild","Beer/baking","Beer/baking","SRR8173082,SRS4028987,SAMN10375284",47.9,
"Fay","[1]","YO734","Yosemite, California, United States","D. pseudoobscura","D. pseudoobscura, Yosemite, California - United States","Other","Other","Wild","Beer/baking","Beer/baking","SRR8173060,SRS4029010,SAMN10375289",55.9,"clade1C"
"Fay","[1]","YO807","NA","Canned peaches","Canned peaches","Other","Other","Wild","Beer/baking","Beer/baking","SRR8173064,SRS4029006,SAMN10375293",284.5,"clade1D"
"Gallone","[2]","BE001","Belgium","Beer",,"Beer","Belgium","Beer","Beer1UK","Ale1","SRR5678584,SRS2280401,SAMN05190362",194.1,
"Gallone","[2]","BE002","Bulgaria","Beer",,"Beer","Other","Beer","Beer2","Beer2","SRR5678585,SRS2280400,SAMN05190363",129.7,
"Gallone","[2]","BE003","Ukraine","Beer",,"Beer","Other","Beer","Beer2","Beer2","SRR5678608,SRS2280377,SAMN05190364",99.1,
"Gallone","[2]","BE004","Belgium","Beer",,"Beer","Belgium","Beer","Beer2","Beer2","SRR5678609,SRS2280375,SAMN05190365",140.1,
"Gallone","[2]","BE005","Belgium","Beer (Ale)",,"Ale","Belgium","Beer","Mixed","Beer/baking","SRR5678606,SRS2280379,SAMN05190366",135.4,"clade1B"
"Gallone","[2]","BE006","NA","Beer (Ale refermentation)",,"Ale","NA","Beer","Mixed","Beer/baking","SRR5678607,SRS2280378,SAMN05190367",202.8,"clade1A"
"Gallone","[2]","BE007","US","Beer (Ale)",,"Ale","US/CA","Beer","Beer1US","Ale1","SRR5678596,SRS2280390,SAMN05190368",148.3,
"Gallone","[2]","BE008","Germany","Beer (Ale)",,"Ale","Germany","Beer","Beer1BG","Ale2","SRR5678600,SRS2280385,SAMN05190369",128.9,
"Gallone","[2]","BE009","England","Beer (Stout)",,"Stout","UK/IE","Beer","Beer1UK","Ale1","SRR5678576,SRS2280409,SAMN05190370",110.2,
"Gallone","[2]","BE010","Scotland","Beer",,"Beer","UK/IE","Beer","Beer1UK","Ale1","SRR5678577,SRS2280408,SAMN05190371",103.4,
"Gallone","[2]","BE011","Belgium","Beer (Abbey)",,"Beer","Belgium","Beer","Beer2","Beer2","SRR5678570,SRS2280415,SAMN05190372",104.9,
"Gallone","[2]","BE012","England","Beer (Bitter)",,"Bitter","UK/IE","Beer","Beer1BG","Ale2","SRR5678571,SRS2280414,SAMN05190373",123.8,
"Gallone","[2]","BE013","Belgium","Beer (Ale refermentation)",,"Ale","Belgium","Beer","Beer2","Beer2","SRR5678568,SRS2280417,SAMN05190374",201.2,
"Gallone","[2]","BE014","Belgium","Beer (Strong ale)",,"Ale","Belgium","Beer","Wine","Wine","SRR5678569,SRS2280416,SAMN05190375",211.1,
"Gallone","[2]","BE015","Belgium","Beer",,"Beer","Belgium","Beer","Beer1BG","Ale2","SRR5678566,SRS2280420,SAMN05190376",98.7,
"Gallone","[2]","BE016","Belgium","Beer",,"Beer","Belgium","Beer","Beer1BG","Ale2","SRR5678567,SRS2280418,SAMN05190377",135.5,
"Gallone","[2]","BE017","Belgium","Beer",,"Beer","Belgium","Beer","Beer1/Mosaic","Ale1","SRR5678564,SRS2280421,SAMN05190378",104.3,
"Gallone","[2]","BE018","Canada","Beer",,"Beer","US/CA","Beer","Mosaic","Mosaic","SRR5678565,SRS2280419,SAMN05190379",118.6,
"Gallone","[2]","BE019","Canada","Beer",,"Beer","US/CA","Beer","Beer1/Mosaic","Ale1","SRR5678572,SRS2280413,SAMN05190380",108.9,
"Gallone","[2]","BE020","Belgium","Beer",,"Beer","Belgium","Beer","Wine","Wine","SRR5678573,SRS2280412,SAMN05190381",110.1,
"Gallone","[2]","BE021","Canada","Beer (Pale ale)",,"Pale ale","US/CA","Beer","Beer2","Beer2","SRR5678680,SRS2280304,SAMN05190382",104.1,
"Gallone","[2]","BE022","Belgium","Beer (Ale refermentation)",,"Ale","Belgium","Beer","Beer1BG","Ale2","SRR5678679,SRS2280306,SAMN05190383",111.5,
"Gallone","[2]","BE023","Belgium","Beer (Ale refermentation)",,"Ale","Belgium","Beer","Mixed","Beer/baking","SRR5678678,SRS2280307,SAMN05190384",101.1,"clade1C"
"Gallone","[2]","BE024","Belgium","Beer (Ale refermentation)",,"Ale","Belgium","Beer","Wine","Wine","SRR5678677,SRS2280308,SAMN05190385",110.1,
"Gallone","[2]","BE025","Belgium","Beer (Ale refermentation)",,"Ale","Belgium","Beer","Mixed","Beer/baking","SRR5678676,SRS2280309,SAMN05190386",127.4,"clade1C"
"Gallone","[2]","BE026","Belgium","Beer (Ale refermentation)",,"Ale","Belgium","Beer","Beer1BG","Ale2","SRR5678675,SRS2280310,SAMN05190387",133.1,
"Gallone","[2]","BE027","Belgium","Beer (Ale refermentation)",,"Ale","Belgium","Beer","Beer2","Beer2","SRR5678674,SRS2280312,SAMN05190388",86,
"Gallone","[2]","BE028","Belgium","Beer (Ale refermentation)",,"Ale","Belgium","Beer","Mixed","Beer/baking","SRR5678673,SRS2280311,SAMN05190389",123,"clade1A"
"Gallone","[2]","BE029","Belgium","Beer (Ale refermentation)",,"Ale","Belgium","Beer","Mixed","Beer/baking","SRR5678672,SRS2280313,SAMN05190390",91.1,"clade1A"
"Gallone","[2]","BE030","Belgium","Beer (Trappist)",,"Trappist","Belgium","Beer","Wine","Wine","SRR5678671,SRS2280314,SAMN05190391",190,
"Gallone","[2]","BE031","Belgium","Beer (Trappist)",,"Trappist","Belgium","Beer","Beer1BG","Ale2","SRR5678683,SRS2280302,SAMN05190392",103.4,
"Gallone","[2]","BE032","England","Beer",,"Beer","UK/IE","Beer","Beer2","Beer2","SRR5678684,SRS2280301,SAMN05190393",99.9,
"Gallone","[2]","BE033","England","Beer (Strong ale)",,"Ale","UK/IE","Beer","Wine","Wine","SRR5678685,SRS2280300,SAMN05190394",122.6,
"Gallone","[2]","BE034","Belgium","Beer (Saison)",,"Beer","Belgium","Beer","Beer2","Beer2","SRR5678686,SRS2280299,SAMN05190395",110.9,
"Gallone","[2]","BE035","Belgium (UK origin)","Beer (Trappist)",,"Trappist","UK/IE","Beer","Beer1/Mosaic","Ale1","SRR5678687,SRS2280298,SAMN05190396",207.7,
"Gallone","[2]","BE036","Belgium (UK origin)","Beer (Trappist)",,"Trappist","UK/IE","Beer","Beer1UK","Ale1","SRR5678688,SRS2280296,SAMN05190397",113,
"Gallone","[2]","BE037","Belgium (UK origin)","Beer (Trappist)",,"Trappist","UK/IE","Beer","Beer1UK","Ale1","SRR5678689,SRS2280297,SAMN05190398",122,
"Gallone","[2]","BE038","NA","Beer (Lager)",,"Lager","NA","Beer","Mixed","Beer/baking","SRR5678690,SRS2280295,SAMN05190399",107.3,"clade1C"
"Gallone","[2]","BE039","Czech","Beer (Lager)",,"Lager","Other","Beer","Beer2","Beer2","SRR5678681,SRS2280305,SAMN05190400",196.7,
"Gallone","[2]","BE040","US","Beer (Lager)",,"Lager","US/CA","Beer","Beer2","Beer2","SRR5678682,SRS2280303,SAMN05190401",102.6,
"Gallone","[2]","BE041","Belgium","Beer (Lager)",,"Lager","Belgium","Beer","Beer1BG","Ale2","SRR5678616,SRS2280369,SAMN05190402",90.7,
"Gallone","[2]","BE042","Belgium","Beer (Lager)",,"Lager","Belgium","Beer","Beer1/Mosaic","Ale1","SRR5678615,SRS2280370,SAMN05190403",84.2,
"Gallone","[2]","BE043","Belgium","Beer (Lager)",,"Lager","Belgium","Beer","Beer1BG","Ale2","SRR5678618,SRS2280367,SAMN05190404",149.7,
"Gallone","[2]","BE044","US (California)","Beer (Pale ale)",,"Pale ale","US/CA","Beer","Beer1US","Ale1","SRR5688141,SRS2280368,SAMN05190405",24.6,
"Gallone","[2]","BE045","England","Beer (Bitter)",,"Bitter","UK/IE","Beer","Beer1UK","Ale1","SRR5688143,SRS2280365,SAMN05190406",131.4,
"Gallone","[2]","BE046","Germany","Beer",,"Beer","Germany","Beer","Beer1BG","Ale2","SRR5688145,SRS2280366,SAMN05190407",104.6,
"Gallone","[2]","BE047","Ireland","Beer (Stout)",,"Stout","UK/IE","Beer","Beer1UK","Ale1","SRR5688147,SRS2280363,SAMN05190408",162.1,
"Gallone","[2]","BE048","England","Beer (Pale ale)",,"Pale ale","UK/IE","Beer","Beer1UK","Ale1","SRR5688149,SRS2280364,SAMN05190409",170.6,
"Gallone","[2]","BE049","England","Beer (Pale ale)",,"Pale ale","UK/IE","Beer","Beer1UK","Ale1","SRR5688151,SRS2280371,SAMN05190410",158.5,
"Gallone","[2]","BE050","England","Beer",,"Beer","UK/IE","Beer","Beer1UK","Ale1","SRR5688153,SRS2280372,SAMN05190411",157.8,
"Gallone","[2]","BE051","US (East Coast)","Beer",,"Beer","US/CA","Beer","Beer1US","Ale1","SRR5688155,SRS2280340,SAMN05190412",162.1,
"Gallone","[2]","BE052","Australia","Beer (Pale ale)",,"Pale ale","Other","Beer","Beer1","Ale1","SRR5688157,SRS2280339,SAMN05190413",157.4,
"Gallone","[2]","BE053","Europe","Beer",,"Beer","Other","Beer","Beer1UK","Ale1","SRR5688159,SRS2280342,SAMN05190414",108.3,
"Gallone","[2]","BE054","England","Beer",,"Beer","UK/IE","Beer","Beer1UK","Ale1","SRR5688161,SRS2280341,SAMN05190415",118.4,
"Gallone","[2]","BE055","England","Beer",,"Beer","UK/IE","Beer","Beer1UK","Ale1","SRR5688163,SRS2280336,SAMN05190416",147.6,
"Gallone","[2]","BE056","England","Beer (Pale ale)",,"Pale ale","UK/IE","Beer","Beer1UK","Ale1","SRR5688165,SRS2280335,SAMN05190417",123.7,
"Gallone","[2]","BE057","England","Beer",,"Beer","UK/IE","Beer","Beer1/Mosaic","Ale1","SRR5688167,SRS2280338,SAMN05190418",161.5,
"Gallone","[2]","BE058","England","Beer",,"Beer","UK/IE","Beer","Beer1/Mosaic","Ale1","SRR5688169,SRS2280337,SAMN05190419",106.7,
"Gallone","[2]","BE059","England","Beer",,"Beer","UK/IE","Beer","Beer2","Beer2","SRR5688171,SRS2280344,SAMN05190420",113.7,
"Gallone","[2]","BE060","Scotland","Beer (Ale)",,"Ale","UK/IE","Beer","Beer1/Mosaic","Ale1","SRR5688173,SRS2280343,SAMN05190421",207.9,
"Gallone","[2]","BE061","Germany","Beer (Alt)",,"Alt","Germany","Beer","Mixed","Beer/baking","SRR5688175,SRS2280397,SAMN05190422",88.3,"clade1C"
"Gallone","[2]","BE062","England","Beer",,"Beer","UK/IE","Beer","Beer2","Beer2","SRR5688177,SRS2280396,SAMN05190423",157.5,
"Gallone","[2]","BE063","England","Beer",,"Beer","UK/IE","Beer","Beer2","Beer2","SRR5688179,SRS2280398,SAMN05190424",224.2,
"Gallone","[2]","BE064","England","Beer",,"Beer","UK/IE","Beer","Beer1UK","Ale1","SRR5688181,SRS2280399,SAMN05190425",188.7,
"Gallone","[2]","BE065","US (California)","Beer",,"Beer","US/CA","Beer","Beer1US","Ale1","SRR5688183,SRS2280392,SAMN05190426",127.5,
"Gallone","[2]","BE066","US (Pacific North West America)","Beer (Pale ale)",,"Pale ale","US/CA","Beer","Beer1UK","Ale1","SRR5688185,SRS2280393,SAMN05190427",100.6,
"Gallone","[2]","BE067","England","Beer",,"Beer","UK/IE","Beer","Beer1US","Ale1","SRR5688187,SRS2280394,SAMN05190428",235.8,
"Gallone","[2]","BE068","US (California)","Beer (Pale ale)",,"Pale ale","US/CA","Beer","Beer1US","Ale1","SRR5688189,SRS2280395,SAMN05190429",30.9,
"Gallone","[2]","BE069","US (California)","Beer",,"Beer","US/CA","Beer","Beer1UK","Ale1","SRR5688191,SRS2280389,SAMN05190430",146.9,
"Gallone","[2]","BE070","France","Beer",,"Beer","Other","Beer","Beer1UK","Ale1","SRR5688193,SRS2280391,SAMN05190431",54.3,
"Gallone","[2]","BE071","US (San Diego)","Beer",,"Beer","US/CA","Beer","Beer1US","Ale1","SRR5688195,SRS2280383,SAMN05190432",210.5,
"Gallone","[2]","BE072","Germany","Beer (Hefeweizen)",,"Hefeweizen","Germany","Beer","Beer1/Mosaic","Ale1","SRR5688197,SRS2280382,SAMN05190433",114.7,
"Gallone","[2]","BE073","Germany","Beer (Hefeweizen)",,"Hefeweizen","Germany","Beer","Beer1BG","Ale2","SRR5688199,SRS2280380,SAMN05190434",186.4,
"Gallone","[2]","BE074","Germany","Beer (Hefeweizen)",,"Hefeweizen","Germany","Beer","Beer1/Mosaic","Ale1","SRR5688201,SRS2280381,SAMN05190435",181.5,
"Gallone","[2]","BE075","Belgium","Beer (Wheat)",,"Wheat beer","Belgium","Beer","Beer1BG","Ale2","SRR5688203,SRS2280387,SAMN05190436",215.5,
"Gallone","[2]","BE076","Belgium","Beer (Wheat)",,"Wheat beer","Belgium","Beer","Beer1BG","Ale2","SRR5688205,SRS2280386,SAMN05190437",233.9,
"Gallone","[2]","BE077","Belgium","Beer (Trappist)",,"Trappist","Belgium","Beer","Beer1BG","Ale2","SRR5688207,SRS2280362,SAMN05190438",171.6,
"Gallone","[2]","BE078","Belgium","Beer (Trappist)",,"Trappist","Belgium","Beer","Beer1BG","Ale2","SRR5688209,SRS2280384,SAMN05190439",176.9,
"Gallone","[2]","BE079","Belgium","Beer (Trappist)",,"Trappist","Belgium","Beer","Beer1UK","Ale1","SRR5688211,SRS2280374,SAMN05190440",165.6,
"Gallone","[2]","BE080","Belgium","Beer",,"Beer","Belgium","Beer","Beer2","Beer2","SRR5688213,SRS2280388,SAMN05190441",140.8,
"Gallone","[2]","BE081","Belgium","Beer (Ale)",,"Ale","Belgium","Beer","Beer1BG","Ale2","SRR5688215,SRS2280444,SAMN05190442",133.3,
"Gallone","[2]","BE082","Belgium","Beer",,"Beer","Belgium","Beer","Beer1US","Ale1","SRR5688217,SRS2280445,SAMN05190443",162.1,
"Gallone","[2]","BE083","Belgium","Beer (Saison)",,"Beer","Belgium","Beer","Beer2","Beer2","SRR5688219,SRS2280442,SAMN05190444",75.4,
"Gallone","[2]","BE084","Belgium","Beer",,"Beer","Belgium","Beer","Beer2","Beer2","SRR5688221,SRS2280443,SAMN05190445",179.8,
"Gallone","[2]","BE085","Belgium","Beer (Strong ale)",,"Strong ale","Belgium","Beer","Beer2","Beer2","SRR5688223,SRS2280448,SAMN05190446",310.9,
"Gallone","[2]","BE086","Belgium","Beer",,"Beer","Belgium","Beer","Beer2","Beer2","SRR5688225,SRS2280450,SAMN05190447",183.7,
"Gallone","[2]","BE087","Germany","Beer (Lager)",,"Lager","Germany","Beer","Beer1BG","Ale2","SRR5688227,SRS2280447,SAMN05190448",187.9,
"Gallone","[2]","BE088","Germany","Beer",,"Beer","Germany","Beer","Wine","Wine","SRR5688229,SRS2280446,SAMN05190449",181.1,
"Gallone","[2]","BE089","Germany","Beer",,"Beer","Germany","Beer","Beer1UK","Ale1","SRR5688231,SRS2280449,SAMN05190450",126.9,
"Gallone","[2]","BE090","England","Beer",,"Beer","UK/IE","Beer","Beer1UK","Ale1","SRR5688233,SRS2280451,SAMN05190451",172.3,
"Gallone","[2]","BE091","Germany","Beer (Lager)",,"Lager","Germany","Beer","Beer2","Beer2","SRR5688235,SRS2280423,SAMN05190452",255.9,
"Gallone","[2]","BE092","Belgium","Beer (Strong ale)",,"Ale","Belgium","Beer","Beer2","Beer2","SRR5688237,SRS2280422,SAMN05190453",183.3,
"Gallone","[2]","BE093","Germany","Beer (Hefeweizen)",,"Hefeweizen","Germany","Beer","Beer1/Mosaic","Ale1","SRR5688239,SRS2280425,SAMN05190454",208.5,
"Gallone","[2]","BE094","Germany","Beer (Lager)",,"Lager","Germany","Beer","Beer1UK","Ale1","SRR5688241,SRS2280424,SAMN05190455",143.8,
"Gallone","[2]","BE095","NA","Beer",,"Beer","NA","Beer","Beer1","Ale1","SRR5688243,SRS2280427,SAMN05190456",242.4,
"Gallone","[2]","BE096","NA","Beer",,"Beer","NA","Beer","Beer1","Ale1","SRR5688245,SRS2280426,SAMN05190457",289.9,
"Gallone","[2]","BE097","NA","Beer",,"Beer","NA","Beer","Beer1","Ale1","SRR5688247,SRS2280430,SAMN05190458",258.9,
"Gallone","[2]","BE098","US (California)","Beer (Pale ale)",,"Pale ale","US/CA","Beer","Beer1US","Ale1","SRR5688249,SRS2280428,SAMN05190459",306.9,
"Gallone","[2]","BE099","England","Beer (Bitter)",,"Bitter","UK/IE","Beer","Beer1UK","Ale1","SRR5688251,SRS2280431,SAMN05190460",367.3,
"Gallone","[2]","BE100","England","Beer",,"Beer","UK/IE","Beer","Beer1UK","Ale1","SRR5688253,SRS2280429,SAMN05190461",241,
"Gallone","[2]","BE101","England","Beer",,"Beer","UK/IE","Beer","Beer1UK","Ale1","SRR5688255,SRS2280402,SAMN05190462",209.7,
"Gallone","[2]","BE102","US","Beer",,"Beer","US/CA","Beer","Beer1US","Ale1","SRR5688257,SRS2280404,SAMN05190463",264.1,
"Gallone","[2]","BI002","Brazil","Bioethanol",,"Other","Other","Bio-ethanol","Mosaic","Mosaic","SRR5678610,SRS2280376,SAMN05190465",112.6,
"Gallone","[2]","BI005","Brazil","Bioethanol",,"Other","Other","Bio-ethanol","Mosaic","Mosaic","SRR5678581,SRS2280403,SAMN05190468",138.5,
"Gallone","[2]","BR001","NA","Bread",,"Other","Other","Baking","Mixed","Beer/baking","SRR5678580,SRS2280405,SAMN05190469",126.3,"clade1C"
